best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.044107173165383, 'k': val=0.6534202554474406, '-': True}, 'tau': val=1.5955157267888944}, 'B': {'A': {'n': val=6.998554160139499, 'k': val=0.5207924691147705, '-': False}, 'tau': val=2.067334173543603}, 'C': {'B': {'n': val=3.000107888355141, 'k': val=0.3929416976724436, '-': False}, 'tau': val=1.9404597452230028}, 'D': {'C': {'n': val=5.012559857608975, 'k': val=0.5631659577092537, '-': False}, 'tau': val=2.6202356375323776}, 'E': {'D': {'n': val=30.0, 'k': val=0.100000000000737, '-': False}, 'B': {'n': val=5.9973087698514655, 'k': val=0.6804488585728216, '-': False}, 'E': {'n': val=5.802459355957096, 'k': val=0.8802208667196293, '-': False}, 'tau': val=3.0103945447674376}}, ind_size=19)",SQUARED,ODEINT,0,21.615685225735508,1.6350821376822726,0.010693974387870526,0.08646274090294202,21166.26867365837,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=15.577104719189835, 'k': val=0.652579829270334, '-': True}, 'tau': val=1.605602251788353}, 'B': {'A': {'n': val=6.935297822948123, 'k': val=0.5254434406233797, '-': False}, 'tau': val=2.0722328071614884}, 'C': {'B': {'n': val=2.00035672321398, 'k': val=0.3630114381543538, '-': False}, 'tau': val=1.64658685686893}, 'D': {'C': {'n': val=4.103997239579943, 'k': val=0.5385278917425623, '-': False}, 'tau': val=2.4213617360064346}, 'E': {'D': {'n': val=4.6171902280126655, 'k': val=0.1, '-': False}, 'B': {'n': val=4.999999945869359, 'k': val=0.7166287901335091, '-': False}, 'E': {'n': val=4.163351594056406, 'k': val=0.8495275845941019, '-': False}, 'tau': val=2.6325318428301636}}, ind_size=19)",MSE,ODEINT,0,21.085667865885807,1.5844806382846879,0.010042315572396205,0.08434267146354324,16295.506695747375,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.404158213306346, 'k': val=1.8453433781572992, '-': True}, 'tau': val=2.158949032005548}, 'B': {'A': {'n': val=29.305098556028682, 'k': val=0.8155025980169714, '-': False}, 'tau': val=0.10196992196765142}, 'C': {'B': {'n': val=18.181011419124186, 'k': val=1.6748070351633166, '-': False}, 'tau': val=4.87153933795578}, 'D': {'C': {'n': val=18.879478329389777, 'k': val=0.6425949352218184, '-': False}, 'tau': val=2.9160863730697013}, 'E': {'D': {'n': val=22.525650734709533, 'k': val=1.7307962892151805, '-': False}, 'B': {'n': val=22.67695743518364, 'k': val=1.4263087720498757, '-': False}, 'E': {'n': val=25.947934958632533, 'k': val=0.7130938939898182, '-': False}, 'tau': val=2.975483369214807}}, ind_size=19)",SQUARED,ODEINT,1,239.45189999999997,18.492313131406792,1.3678625798000001,0.9578076000000001,6073.138981819153,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.94058859351096, 'k': val=0.6534511005255543, '-': True}, 'tau': val=1.5889589807142832}, 'B': {'A': {'n': val=6.999139919872884, 'k': val=0.5305507406064623, '-': False}, 'tau': val=2.0439903982782126}, 'C': {'B': {'n': val=2.9375438456718737, 'k': val=0.3538187720647033, '-': False}, 'tau': val=1.4374778495286278}, 'D': {'C': {'n': val=6.695090025977197, 'k': val=0.5778332888741048, '-': False}, 'tau': val=2.9270060548040093}, 'E': {'D': {'n': val=7.195546549064843, 'k': val=0.10000000000053715, '-': False}, 'B': {'n': val=4.376099089783416, 'k': val=0.6672017915723594, '-': False}, 'E': {'n': val=6.000001274347801, 'k': val=0.877251917979937, '-': False}, 'tau': val=2.676169307386894}}, ind_size=19)",MSE,ODEINT,1,20.96919420313115,1.5791202612036113,0.009974483197375046,0.08387677681252458,18243.002240896225,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.933144012371866, 'k': val=0.6518714021399901, '-': True}, 'tau': val=1.607427280742299}, 'B': {'A': {'n': val=6.971119007226578, 'k': val=0.5133110444085124, '-': False}, 'tau': val=2.1308856287974027}, 'C': {'B': {'n': val=3.016800880690921, 'k': val=0.4000487356629959, '-': False}, 'tau': val=2.0342465706999633}, 'D': {'C': {'n': val=4.324591993572411, 'k': val=0.5466253604387827, '-': False}, 'tau': val=2.122712187021225}, 'E': {'D': {'n': val=3.495140043834297, 'k': val=0.10000000000120358, '-': False}, 'B': {'n': val=4.970411462748847, 'k': val=0.7420905189269154, '-': False}, 'E': {'n': val=3.8532830311344894, 'k': val=0.8353944834464522, '-': False}, 'tau': val=2.6761890001265876}}, ind_size=19)",SQUARED,ODEINT,2,21.826706694609822,1.679563115886548,0.01128372904098612,0.08730682677843932,17406.822868585587,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=22.99678744173015, 'k': val=0.6998869287719262, '-': True}, 'tau': val=1.626205855332245}, 'B': {'A': {'n': val=5.0149557195422965, 'k': val=0.5167084071787054, '-': False}, 'tau': val=1.9581424740815658}, 'C': {'B': {'n': val=2.000136367679881, 'k': val=0.3606415291623529, '-': False}, 'tau': val=1.482438375280753}, 'D': {'C': {'n': val=5.052632871260821, 'k': val=0.565815425152313, '-': False}, 'tau': val=2.4631280370681456}, 'E': {'D': {'n': val=3.2926475931165, 'k': val=0.490492082521522, '-': False}, 'B': {'n': val=2.9475038825270503, 'k': val=0.4772472568261832, '-': False}, 'E': {'n': val=0.41133998346150746, 'k': val=1.999795989010659, '-': False}, 'tau': val=3.0913761238447144}}, ind_size=19)",MSE,ODEINT,2,22.27966215806143,1.7261414752788704,0.01191825757071166,0.08911864863224575,16617.879539966583,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=18.60022383111934, 'k': val=0.39876485093175884, '-': True}, 'tau': val=1.9267763482490756}, 'B': {'A': {'n': val=23.981676290829686, 'k': val=0.39086967138038076, '-': False}, 'tau': val=1.449991529625099}, 'C': {'B': {'n': val=7.365047572849256, 'k': val=1.0110638791638271, '-': False}, 'tau': val=1.1942825671401103}, 'D': {'C': {'n': val=1.006309679621749, 'k': val=0.9769414881308304, '-': False}, 'tau': val=0.10365305800529985}, 'E': {'D': {'n': val=20.417103932821227, 'k': val=1.610888715635613, '-': False}, 'B': {'n': val=17.387084426257534, 'k': val=1.420053456629091, '-': False}, 'E': {'n': val=11.789644670442971, 'k': val=0.18796278568660185, '-': False}, 'tau': val=0.8963513558459445}}, ind_size=19)",SQUARED,ODEINT,3,167.3583235313231,14.242142029998819,0.8113544384106354,0.6694332941252925,4387.020711660385,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=13.067480983889347, 'k': val=0.6700054087780445, '-': True}, 'tau': val=1.5189771855669736}, 'B': {'A': {'n': val=6.481776709168012, 'k': val=0.5313414673617591, '-': False}, 'tau': val=1.9968964129051607}, 'C': {'B': {'n': val=3.7458519468478717, 'k': val=0.4071280540598593, '-': False}, 'tau': val=2.4644593547858897}, 'D': {'C': {'n': val=3.9810436215834812, 'k': val=0.4944397202367804, '-': False}, 'tau': val=1.8427122326646164}, 'E': {'D': {'n': val=4.691380873975465, 'k': val=0.33648303203671315, '-': False}, 'B': {'n': val=5.882167935697407, 'k': val=0.46234247823141167, '-': False}, 'E': {'n': val=5.663294828526682, 'k': val=1.0261948930671976, '-': False}, 'tau': val=3.7170359473055403}}, ind_size=19)",MSE,ODEINT,3,22.491091569270207,1.701164715851847,0.011575845561837179,0.0899643662770808,11638.090207099915,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=13.999960763966694, 'k': val=0.6591354806352305, '-': True}, 'tau': val=1.5744245319078796}, 'B': {'A': {'n': val=6.208875169835887, 'k': val=0.525986764409866, '-': False}, 'tau': val=2.051514986443018}, 'C': {'B': {'n': val=3.9999999991599724, 'k': val=0.40975345467186347, '-': False}, 'tau': val=2.2201355083599257}, 'D': {'C': {'n': val=2.9983247965194986, 'k': val=0.44878986835695184, '-': False}, 'tau': val=1.5614847323946652}, 'E': {'D': {'n': val=3.9974747479885138, 'k': val=0.4260854011985164, '-': False}, 'B': {'n': val=5.954937702082424, 'k': val=0.4893785775264775, '-': False}, 'E': {'n': val=3.0070487697147668, 'k': val=0.9329883263837666, '-': False}, 'tau': val=3.335434773800333}}, ind_size=19)",SQUARED,ODEINT,4,22.64463027389198,1.7000049597706879,0.011560067452979751,0.09057852109556791,14910.490896940231,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.011336857802174, 'k': val=0.6566123650537018, '-': True}, 'tau': val=1.5848497940455726}, 'B': {'A': {'n': val=6.9999998867603885, 'k': val=0.5335906999648318, '-': False}, 'tau': val=2.024273899971593}, 'C': {'B': {'n': val=2.999456197926405, 'k': val=0.3546289299481884, '-': False}, 'tau': val=1.5603379035162843}, 'D': {'C': {'n': val=5.999999999494508, 'k': val=0.5610385070653457, '-': False}, 'tau': val=2.699370319604868}, 'E': {'D': {'n': val=4.999301416272771, 'k': val=0.10000000000005392, '-': False}, 'B': {'n': val=4.829161945197345, 'k': val=0.6515174025875148, '-': False}, 'E': {'n': val=7.907665377694528, 'k': val=0.8820509917789271, '-': False}, 'tau': val=2.6990331070573514}}, ind_size=19)",MSE,ODEINT,4,21.006879138714357,1.5769993972518688,0.00994770839573103,0.08402751655485742,21619.42061161995,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.570169643845247, 'k': val=0.5922854331811009, '-': True}, 'tau': val=3.2349963630412004}, 'B': {'A': {'n': val=26.127444301344347, 'k': val=1.8532242664967729, '-': False}, 'tau': val=4.032234737788064}, 'C': {'B': {'n': val=14.13770231555156, 'k': val=1.96479060145142, '-': False}, 'tau': val=0.11084964140897356}, 'D': {'C': {'n': val=24.430601079848852, 'k': val=1.1382673461477077, '-': False}, 'tau': val=2.0548295391239675}, 'E': {'D': {'n': val=14.599439142154893, 'k': val=0.15531197097816368, '-': False}, 'B': {'n': val=2.6871180832259323, 'k': val=0.31176224351824433, '-': False}, 'E': {'n': val=7.612228839547374, 'k': val=1.9333390558000936, '-': False}, 'tau': val=3.8771850269871004}}, ind_size=19)",SQUARED,ODEINT,5,210.1957881989277,16.922354317876515,1.1454643026390152,0.8407831527957105,4212.5429251194,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=13.225176181962993, 'k': val=0.6499946070381044, '-': True}, 'tau': val=1.4821647095796053}, 'B': {'A': {'n': val=8.59963407845283, 'k': val=0.5456048894914554, '-': False}, 'tau': val=2.153234319092741}, 'C': {'B': {'n': val=3.1763605238403723, 'k': val=0.4118219747915259, '-': False}, 'tau': val=2.468010475089445}, 'D': {'C': {'n': val=5.78427704876114, 'k': val=0.5475840060622683, '-': False}, 'tau': val=2.2427174291264627}, 'E': {'D': {'n': val=1.3342063307240215, 'k': val=0.27665469058241254, '-': False}, 'B': {'n': val=4.747727872882098, 'k': val=0.2490762011303052, '-': False}, 'E': {'n': val=2.1292294826878, 'k': val=1.3850922437070006, '-': False}, 'tau': val=2.4770608860200913}}, ind_size=19)",MSE,ODEINT,5,23.097849602602068,1.7832550460736147,0.01271999423738804,0.0923913984104083,5279.406172513962,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=14.468604385376347, 'k': val=0.6765574690916449, '-': True}, 'tau': val=1.5763022025377589}, 'B': {'A': {'n': val=7.999999950382985, 'k': val=0.5306627955167965, '-': False}, 'tau': val=2.1911463592315985}, 'C': {'B': {'n': val=2.45018368261331, 'k': val=0.35629589650755117, '-': False}, 'tau': val=1.2452778441118413}, 'D': {'C': {'n': val=6.713614417815467, 'k': val=0.5807126732888923, '-': False}, 'tau': val=2.7880027794257383}, 'E': {'D': {'n': val=3.771186891481219, 'k': val=0.5198921547146346, '-': False}, 'B': {'n': val=4.044876813096692, 'k': val=0.4922784489450183, '-': False}, 'E': {'n': val=0.10039611033513801, 'k': val=0.2496860104429439, '-': False}, 'tau': val=3.6092321724508216}}, ind_size=19)",SQUARED,ODEINT,6,22.271238641998234,1.728495640269115,0.011950788713717355,0.08908495456799291,17246.542597055435,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=16.89408215079157, 'k': val=0.6841325008055019, '-': True}, 'tau': val=1.5641809419011474}, 'B': {'A': {'n': val=7.359805780802043, 'k': val=0.5399405264654579, '-': False}, 'tau': val=2.1337569338908713}, 'C': {'B': {'n': val=2.0012356665681454, 'k': val=0.3572594609661799, '-': False}, 'tau': val=1.5222803151630453}, 'D': {'C': {'n': val=6.751342561811687, 'k': val=0.583773304933665, '-': False}, 'tau': val=2.6133215917817973}, 'E': {'D': {'n': val=23.997755072276227, 'k': val=0.32439973853026843, '-': False}, 'B': {'n': val=6.541265073151035, 'k': val=0.3062021602104605, '-': False}, 'E': {'n': val=17.029096797830558, 'k': val=1.0238175001417191, '-': False}, 'tau': val=3.7892427620332088}}, ind_size=19)",MSE,ODEINT,6,22.89555561512767,1.7594676777297822,0.012382906035903331,0.0915822224605107,22973.99219083786,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.629131340616595, 'k': val=0.6972771693212216, '-': True}, 'tau': val=1.5780970446479254}, 'B': {'A': {'n': val=5.003711341103321, 'k': val=0.5130333198451227, '-': False}, 'tau': val=1.8733244655529273}, 'C': {'B': {'n': val=5.9999997001853576, 'k': val=0.42268411646820453, '-': False}, 'tau': val=2.8361741273744108}, 'D': {'C': {'n': val=4.995403996439474, 'k': val=0.5573107157507767, '-': False}, 'tau': val=1.685096051026346}, 'E': {'D': {'n': val=30.0, 'k': val=0.30054326836846096, '-': False}, 'B': {'n': val=2.9999954847671844, 'k': val=0.465510269390486, '-': False}, 'E': {'n': val=1.0000000485968084, 'k': val=1.9999999999957598, '-': False}, 'tau': val=3.3251408499485984}}, ind_size=19)",SQUARED,ODEINT,7,23.447307607727925,1.8305365908389089,0.01340345684160054,0.09378923043091171,31826.956459522247,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=14.00500128560801, 'k': val=0.6902424464929319, '-': True}, 'tau': val=1.5419435676827604}, 'B': {'A': {'n': val=6.002281158410058, 'k': val=0.5288722651314907, '-': False}, 'tau': val=2.073857639354634}, 'C': {'B': {'n': val=3.0004274931935773, 'k': val=0.3990252143361217, '-': False}, 'tau': val=2.045894494909969}, 'D': {'C': {'n': val=6.998065440184495, 'k': val=0.598125950065736, '-': False}, 'tau': val=2.573256456544476}, 'E': {'D': {'n': val=1.2591004393628933, 'k': val=0.5451010178668796, '-': False}, 'B': {'n': val=7.001590050655389, 'k': val=0.23851548082975868, '-': False}, 'E': {'n': val=0.10003564190118829, 'k': val=1.980010512017642, '-': False}, 'tau': val=2.233125316666786}}, ind_size=19)",MSE,ODEINT,7,22.75935649881419,1.7578948317283096,0.012360776957668405,0.09103742599525674,18133.5614528656,GRN5,SADE,False,GRN5_SADE_SERIAL_20251010_020752
