model,method,parallel,run_id,seed,solver,error_type,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,best_ind
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,RK45,ABS,,,,,,
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,RK45,SQUARED,40.7099538965371,2.9809820414759254,0.022215634829004936,0.10177488474134283,2646.276720046997,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=19.093111208206388, 'k': val=1.6425738506575884}, 'B': {'n': val=2.0049139641252745, 'k': val=1.9908995095756965}, 'D': {'n': val=10.96433459218912, 'k': val=1.1549421749739908}, 'tau': val=1.7437939283989428}, 'B': {'C': {'n': val=3.3667208211700914, 'k': val=0.5314624539670761}, 'D': {'n': val=12.013591653071963, 'k': val=0.39916191556712177}, 'tau': val=4.529731248491466}, 'C': {'A': {'n': val=0.9963411953296857, 'k': val=0.8190475683920865}, 'D': {'n': val=11.001966845417815, 'k': val=0.4254296635857632}, 'tau': val=4.760994501683054}, 'D': {'A': {'n': val=26.69705509166488, 'k': val=1.0309105170045827}, 'D': {'n': val=27.99005656142008, 'k': val=0.10158407494930485}, 'tau': val=0.7928841585740267}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,RK45,MSE,30.74974130502654,2.7017085653051542,0.018248072929608082,0.07687435326256636,2847.902441263199,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=14.11999260683424, 'k': val=1.9360080182070574}, 'B': {'n': val=7.551358673771253, 'k': val=1.1080976486149345}, 'D': {'n': val=10.894557680381343, 'k': val=1.720573337100997}, 'tau': val=2.476060266083891}, 'B': {'C': {'n': val=3.1364881589201086, 'k': val=0.4218892845824263}, 'D': {'n': val=14.699995921931707, 'k': val=0.32965848072472825}, 'tau': val=4.2662234881817}, 'C': {'A': {'n': val=0.13684471695014414, 'k': val=1.474786604441345}, 'D': {'n': val=28.12663124038291, 'k': val=0.3561299930280768}, 'tau': val=4.967521377258531}, 'D': {'A': {'n': val=23.57310388495104, 'k': val=0.9718137041356394}, 'D': {'n': val=21.334458292884243, 'k': val=0.10128372700492666}, 'tau': val=0.8694801383788968}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,RK45,MABS,32.5814465282229,3.227260775964913,0.02603803029020413,0.08145361632055724,1683.591071844101,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=19.71763859655532, 'k': val=0.5424081061734018}, 'B': {'n': val=29.564115154073527, 'k': val=0.10007264668746431}, 'D': {'n': val=10.369011408208452, 'k': val=1.197691839893228}, 'tau': val=1.3490847524094327}, 'B': {'C': {'n': val=2.233213006681428, 'k': val=0.6052886703420625}, 'D': {'n': val=27.70388255202683, 'k': val=0.6975683253467521}, 'tau': val=3.5398543305003494}, 'C': {'A': {'n': val=0.12577063929549534, 'k': val=1.2658155465340053}, 'D': {'n': val=15.330460140627736, 'k': val=0.3907553515432532}, 'tau': val=4.565699734021933}, 'D': {'A': {'n': val=29.76929070332152, 'k': val=0.9706913687437679}, 'D': {'n': val=4.43042124772032, 'k': val=0.10038635175954284}, 'tau': val=0.5252825876048925}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,DOP853,ABS,31.699869756410923,3.1815857794129343,0.025306220179406518,0.07924967439102729,2305.482473373413,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=27.026818070815057, 'k': val=1.4351393393603264}, 'B': {'n': val=21.5312236729508, 'k': val=1.1858549478733633}, 'D': {'n': val=25.02643600082477, 'k': val=1.8771263959419258}, 'tau': val=1.839199444733128}, 'B': {'C': {'n': val=1.4068948106815826, 'k': val=0.6860750776693876}, 'D': {'n': val=16.157036352564557, 'k': val=0.7337005496216704}, 'tau': val=3.0985084908540252}, 'C': {'A': {'n': val=0.2623908922295975, 'k': val=0.9502228667700492}, 'D': {'n': val=29.064970383369005, 'k': val=0.35024844253885373}, 'tau': val=4.443044601408257}, 'D': {'A': {'n': val=28.764395826004495, 'k': val=0.9715701971659211}, 'D': {'n': val=15.694251052309143, 'k': val=0.12408219967036013}, 'tau': val=0.539112341316302}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,DOP853,SQUARED,38.09144448061793,3.1719034656223375,0.025152428988067486,0.09522861120154477,9811.805464029312,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=23.11290918437409, 'k': val=1.8307165531720424}, 'B': {'n': val=19.259288077468906, 'k': val=1.4900264847703097}, 'D': {'n': val=22.801762975365612, 'k': val=1.8053384145333415}, 'tau': val=3.135465298971303}, 'B': {'C': {'n': val=0.22295763001580618, 'k': val=1.7380221405644183}, 'D': {'n': val=3.292533156007353, 'k': val=0.7758285257378141}, 'tau': val=1.734847025454676}, 'C': {'A': {'n': val=30.0, 'k': val=0.9912509353561361}, 'D': {'n': val=2.2750468595723805, 'k': val=1.0019084220725405}, 'tau': val=4.857251160363013}, 'D': {'A': {'n': val=29.02021146988198, 'k': val=0.8305774028605487}, 'D': {'n': val=29.474414906768846, 'k': val=0.2721869817539101}, 'tau': val=0.6009120217762313}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,DOP853,MSE,39.10465160377613,3.251382753055378,0.026428724517164902,0.0977616290094403,6219.711405515671,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=28.54632853467637, 'k': val=1.4065837624648267}, 'B': {'n': val=28.761416062151106, 'k': val=1.2446286556522324}, 'D': {'n': val=3.171318198059985, 'k': val=1.6715828105146706}, 'tau': val=3.2346340273897303}, 'B': {'C': {'n': val=0.3794260303130248, 'k': val=1.6394275704625436}, 'D': {'n': val=3.6378088995874496, 'k': val=0.7878262113813956}, 'tau': val=1.778934037332869}, 'C': {'A': {'n': val=29.75375190649867, 'k': val=0.8822092023691845}, 'D': {'n': val=0.7649035731412276, 'k': val=1.939789622814427}, 'tau': val=4.989399913436531}, 'D': {'A': {'n': val=20.460490049743655, 'k': val=0.7232009214610421}, 'D': {'n': val=25.001901011185144, 'k': val=0.2658960203302385}, 'tau': val=0.5299563823115356}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,DOP853,MABS,34.375006512405946,3.204631131816125,0.02567415172751274,0.08593751628101493,2642.3795018196106,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=23.65502275518007, 'k': val=1.6882927450180782}, 'B': {'n': val=29.482885455006315, 'k': val=1.557951495160202}, 'D': {'n': val=8.56443763723987, 'k': val=1.2737840868975328}, 'tau': val=1.0506386529744711}, 'B': {'C': {'n': val=13.683927649353041, 'k': val=0.43593912228746184}, 'D': {'n': val=1.0378087584645974, 'k': val=0.31777378370440934}, 'tau': val=3.210292727948286}, 'C': {'A': {'n': val=0.9815847582570957, 'k': val=0.1121006341081777}, 'D': {'n': val=28.577069341539147, 'k': val=0.34963916354859004}, 'tau': val=4.961440096368439}, 'D': {'A': {'n': val=29.4147168654836, 'k': val=0.9718689823137283}, 'D': {'n': val=24.717389453890387, 'k': val=0.23995157972204048}, 'tau': val=0.5371782333209859}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,LSODA,ABS,33.97128625043736,3.3988529755198518,0.02888050387300039,0.08492821562609343,931.9515693187714,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=21.587054348271796, 'k': val=1.9773695994687646}, 'B': {'n': val=22.237104342407044, 'k': val=1.9990224256741982}, 'D': {'n': val=18.057798779280255, 'k': val=1.268757114953734}, 'tau': val=2.007603213631002}, 'B': {'C': {'n': val=1.0159670274546464, 'k': val=0.6738382050556736}, 'D': {'n': val=11.010384783620063, 'k': val=0.6164778477370009}, 'tau': val=3.0367971418661366}, 'C': {'A': {'n': val=1.897878087824097, 'k': val=0.11732374294631745}, 'D': {'n': val=19.24999067716387, 'k': val=0.31320798178661524}, 'tau': val=2.834511613346531}, 'D': {'A': {'n': val=13.772249012786625, 'k': val=0.9390385004188286}, 'D': {'n': val=7.4959612314708535, 'k': val=0.1250549833019388}, 'tau': val=0.5584801686257279}}, ind_size=22)"
ABCD,CMAES,False,ABCD_CMAES_SERIAL_20250610_162342,0,LSODA,SQUARED,36.38613491839479,3.1445333950112744,0.024720225680852845,0.09096533729598694,979.7991044521332,"Individual(fitness=inf, coeffs={'A': {'A': {'n': val=12.501151341946635, 'k': val=1.9982378422087663}, 'B': {'n': val=18.09117091860455, 'k': val=1.6144173645620805}, 'D': {'n': val=26.531607473785435, 'k': val=0.9839752417298144}, 'tau': val=2.7831255877780072}, 'B': {'C': {'n': val=2.9509880098236883, 'k': val=0.6002254856152333}, 'D': {'n': val=12.348338057649329, 'k': val=0.7644302117714711}, 'tau': val=3.070004805714114}, 'C': {'A': {'n': val=30.0, 'k': val=1.0021272294009471}, 'D': {'n': val=29.801774820959338, 'k': val=1.590625148128399}, 'tau': val=3.1902094286358045}, 'D': {'A': {'n': val=22.113447721716607, 'k': val=0.7420328458395677}, 'D': {'n': val=27.904855372947626, 'k': val=0.267597559855443}, 'tau': val=0.572584780468001}}, ind_size=22)"
