2025-07-07 01:05:33,142 | INFO | Sigma increased: 15
2025-07-07 01:05:40,951 | INFO | Sigma increased: 15
2025-07-07 01:05:48,214 | INFO | Sigma increased: 15
2025-07-07 01:05:53,335 | INFO | Sigma increased: 15
2025-07-07 01:05:59,097 | INFO | Sigma increased: 15
2025-07-07 01:06:09,471 | INFO | Sigma increased: 15
2025-07-07 01:06:18,523 | INFO | Sigma increased: 13.67299543543731
2025-07-07 01:06:25,975 | INFO | Sigma increased: 15
2025-07-07 01:06:34,324 | INFO | Sigma increased: 15
2025-07-07 01:06:44,584 | INFO | Sigma increased: 15
2025-07-07 01:06:56,908 | INFO | Sigma increased: 15
2025-07-07 01:06:59,799 | INFO | Sigma increased: 15
2025-07-07 01:14:46,819 | INFO | Sigma increased: 1
2025-07-07 01:18:46,460 | INFO | Sigma increased: 1
2025-07-07 01:19:37,965 | INFO | Sigma increased: 3.548018471827164
2025-07-07 01:20:29,833 | INFO | Sigma increased: 13.752139793824913
2025-07-07 01:20:43,207 | INFO | Sigma increased: 15
2025-07-07 01:21:06,113 | INFO | Sigma increased: 15
2025-07-07 01:21:29,134 | INFO | Sigma increased: 15
2025-07-07 01:22:21,228 | INFO | Sigma increased: 15
2025-07-07 01:22:50,852 | INFO | Sigma increased: 15
2025-07-07 01:23:49,841 | INFO | Sigma increased: 15
2025-07-07 01:24:25,312 | INFO | Sigma increased: 15
2025-07-07 01:24:59,647 | INFO | Sigma increased: 15
2025-07-07 01:25:40,212 | INFO | Sigma increased: 15
2025-07-07 01:26:17,645 | INFO | Sigma increased: 15
2025-07-07 01:26:57,783 | INFO | Sigma increased: 15
2025-07-07 01:27:39,205 | INFO | Sigma increased: 15
2025-07-07 01:28:20,783 | INFO | Sigma increased: 15
2025-07-07 01:29:06,564 | INFO | Sigma increased: 15
2025-07-07 01:30:05,511 | INFO | Sigma increased: 15
2025-07-07 01:30:58,905 | INFO | Sigma increased: 15
2025-07-07 01:31:45,230 | INFO | Sigma increased: 15
2025-07-07 01:32:29,996 | INFO | Sigma increased: 15
2025-07-07 01:33:18,227 | INFO | Sigma increased: 15
2025-07-07 01:34:02,597 | INFO | Sigma increased: 15
2025-07-07 01:34:47,578 | INFO | Sigma increased: 15
2025-07-07 01:35:32,767 | INFO | Sigma increased: 15
2025-07-07 01:36:28,279 | INFO | Sigma increased: 15
2025-07-07 01:37:25,559 | INFO | Sigma increased: 15
2025-07-07 01:43:48,430 | INFO | Sigma increased: 1.4809571921747602
2025-07-07 01:48:38,610 | INFO | Sigma increased: 1.0369731712848824
2025-07-07 01:50:33,771 | INFO | Sigma increased: 4.147598354293869
2025-07-07 01:55:01,270 | INFO | Sigma increased: 1.7819583910250367
2025-07-07 02:00:10,403 | INFO | Sigma increased: 1
2025-07-07 02:01:48,735 | INFO | Sigma increased: 2.011747933931886
2025-07-07 02:03:24,380 | INFO | Sigma increased: 3.1243854399319924
2025-07-07 02:04:56,222 | INFO | Sigma increased: 4.328600971313489
2025-07-07 02:06:33,431 | INFO | Sigma increased: 11.762208629873111
2025-07-07 02:08:00,198 | INFO | Sigma increased: 15
2025-07-07 02:10:29,462 | INFO | Sigma increased: 7.01562530005961
2025-07-07 02:12:00,580 | INFO | Sigma increased: 10.744780608734262
2025-07-07 02:14:48,107 | INFO | Sigma increased: 11.024773996982471
2025-07-07 02:16:13,054 | INFO | Sigma increased: 15
2025-07-07 02:18:41,010 | INFO | Sigma increased: 15
2025-07-07 02:21:19,679 | INFO | Sigma increased: 15
2025-07-07 02:22:59,556 | INFO | Sigma increased: 15
2025-07-07 02:24:40,324 | INFO | Sigma increased: 15
2025-07-07 02:26:21,899 | INFO | Sigma increased: 15
2025-07-07 02:27:18,996 | INFO | Execution finished for solver: ODEINT, seed: 0, error: MSE in 5124.63 seconds.
2025-07-07 02:27:18,999 | INFO | Results saved to ../../Outputs/ECOLI_CMAES_SERIAL_20250706_233442\results.csv
2025-07-07 02:27:18,999 | INFO | Running with seed=1, solver=ODEINT, error=SQUARED
2025-07-07 02:27:18,999 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=SQUARED, Seed=1
2025-07-07 02:27:47,600 | INFO | Sigma increased: 2.034365590929095
2025-07-07 02:27:50,358 | INFO | Sigma increased: 4.764089322471482
2025-07-07 02:27:55,964 | INFO | Sigma increased: 6.638143114368713
2025-07-07 02:28:00,411 | INFO | Sigma increased: 7.836363515396327
2025-07-07 02:28:04,911 | INFO | Sigma increased: 11.817235568401331
2025-07-07 02:28:06,457 | INFO | Sigma increased: 11.13886897582068
2025-07-07 02:28:09,839 | INFO | Sigma increased: 12.043443879348814
2025-07-07 02:28:13,091 | INFO | Sigma increased: 10.936097429754003
2025-07-07 02:28:14,752 | INFO | Sigma increased: 11.919081996633462
2025-07-07 02:28:16,958 | INFO | Sigma increased: 15
2025-07-07 02:28:20,365 | INFO | Sigma increased: 15
2025-07-07 02:28:28,311 | INFO | Sigma increased: 14.481981398681407
2025-07-07 02:28:38,771 | INFO | Sigma increased: 12.740785247940067
2025-07-07 02:28:44,010 | INFO | Sigma increased: 15
2025-07-07 02:28:49,501 | INFO | Sigma increased: 15
2025-07-07 02:28:59,098 | INFO | Sigma increased: 14.698321472747589
2025-07-07 02:29:07,590 | INFO | Sigma increased: 15
2025-07-07 02:29:15,011 | INFO | Sigma increased: 15
2025-07-07 02:29:29,118 | INFO | Sigma increased: 15
2025-07-07 02:29:38,566 | INFO | Sigma increased: 15
2025-07-07 02:29:51,595 | INFO | Sigma increased: 15
2025-07-07 02:34:09,683 | INFO | Sigma increased: 1.4626530951008436
2025-07-07 02:34:38,045 | INFO | Sigma increased: 6.995050708689613
2025-07-07 02:35:03,716 | INFO | Sigma increased: 14.878834299025598
2025-07-07 02:35:18,915 | INFO | Sigma increased: 15
2025-07-07 02:35:28,684 | INFO | Sigma increased: 15
2025-07-07 02:35:44,748 | INFO | Sigma increased: 15
2025-07-07 02:36:01,255 | INFO | Sigma increased: 15
2025-07-07 02:36:25,083 | INFO | Sigma increased: 15
2025-07-07 02:36:49,345 | INFO | Sigma increased: 15
2025-07-07 02:37:14,959 | INFO | Sigma increased: 15
2025-07-07 02:37:39,578 | INFO | Sigma increased: 15
2025-07-07 02:37:59,374 | INFO | Sigma increased: 15
2025-07-07 02:38:24,569 | INFO | Sigma increased: 15
2025-07-07 02:38:59,221 | INFO | Sigma increased: 15
2025-07-07 02:39:22,015 | INFO | Sigma increased: 15
2025-07-07 02:39:48,448 | INFO | Sigma increased: 15
2025-07-07 02:40:21,335 | INFO | Sigma increased: 15
2025-07-07 02:40:52,650 | INFO | Sigma increased: 15
2025-07-07 02:41:25,314 | INFO | Sigma increased: 15
2025-07-07 02:41:58,857 | INFO | Sigma increased: 15
2025-07-07 03:07:43,984 | INFO | Sigma increased: 1
2025-07-07 03:10:58,712 | INFO | Sigma increased: 1
2025-07-07 03:11:57,440 | INFO | Sigma increased: 2.979858321933269
2025-07-07 03:12:00,908 | INFO | Sigma increased: 15
2025-07-07 03:12:21,332 | INFO | Sigma increased: 15
2025-07-07 03:12:38,055 | INFO | Sigma increased: 15
2025-07-07 03:13:14,816 | INFO | Sigma increased: 15
2025-07-07 03:14:12,431 | INFO | Sigma increased: 15
2025-07-07 03:15:47,444 | INFO | Sigma increased: 15
2025-07-07 03:18:05,733 | INFO | Sigma increased: 15
2025-07-07 03:20:44,755 | INFO | Sigma increased: 15
2025-07-07 03:23:10,616 | INFO | Sigma increased: 15
2025-07-07 03:24:34,831 | INFO | Sigma increased: 15
2025-07-07 03:25:41,593 | INFO | Sigma increased: 15
2025-07-07 03:25:46,772 | INFO | Execution finished for solver: ODEINT, seed: 1, error: SQUARED in 3507.74 seconds.
2025-07-07 03:25:46,775 | INFO | Results saved to ../../Outputs/ECOLI_CMAES_SERIAL_20250706_233442\results.csv
2025-07-07 03:25:46,775 | INFO | Running with seed=1, solver=ODEINT, error=MSE
2025-07-07 03:25:46,775 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=MSE, Seed=1
2025-07-07 03:25:49,672 | INFO | Sigma increased: 6.532175015053331
2025-07-07 03:25:51,808 | INFO | Sigma increased: 7.673743889173687
2025-07-07 03:25:55,337 | INFO | Sigma increased: 7.675715383556039
2025-07-07 03:25:58,949 | INFO | Sigma increased: 6.9242267292690505
2025-07-07 03:26:03,536 | INFO | Sigma increased: 8.686127662550142
2025-07-07 03:26:08,068 | INFO | Sigma increased: 7.915439947958789
2025-07-07 03:26:10,886 | INFO | Sigma increased: 11.004077259825598
2025-07-07 03:26:14,773 | INFO | Sigma increased: 13.23617583190834
2025-07-07 03:26:20,070 | INFO | Sigma increased: 13.320980904796585
2025-07-07 03:26:24,450 | INFO | Sigma increased: 13.383794454097258
2025-07-07 03:26:31,157 | INFO | Sigma increased: 13.327692575148797
2025-07-07 03:26:37,117 | INFO | Sigma increased: 15
2025-07-07 03:26:38,866 | INFO | Sigma increased: 15
2025-07-07 03:26:46,926 | INFO | Sigma increased: 15
2025-07-07 03:26:55,181 | INFO | Sigma increased: 15
2025-07-07 03:26:56,613 | INFO | Sigma increased: 14.777363784945916
2025-07-07 03:27:03,548 | INFO | Sigma increased: 15
2025-07-07 03:27:04,701 | INFO | Sigma increased: 15
2025-07-07 03:27:14,012 | INFO | Sigma increased: 15
2025-07-07 03:27:30,339 | INFO | Sigma increased: 15
2025-07-07 03:27:37,380 | INFO | Sigma increased: 15
2025-07-07 03:27:41,823 | INFO | Sigma increased: 15
2025-07-07 03:27:47,055 | INFO | Sigma increased: 15
2025-07-07 03:27:52,317 | INFO | Sigma increased: 15
2025-07-07 03:28:06,116 | INFO | Sigma increased: 15
2025-07-07 03:28:23,108 | INFO | Sigma increased: 15
2025-07-07 03:28:36,914 | INFO | Sigma increased: 15
2025-07-07 03:28:39,794 | INFO | Sigma increased: 15
2025-07-07 03:28:40,750 | INFO | Sigma increased: 15
2025-07-07 03:28:55,849 | INFO | Sigma increased: 15
2025-07-07 03:29:09,899 | INFO | Sigma increased: 15
2025-07-07 03:29:33,472 | INFO | Sigma increased: 15
2025-07-07 03:29:53,571 | INFO | Sigma increased: 15
2025-07-07 03:30:20,711 | INFO | Sigma increased: 15
2025-07-07 03:30:45,334 | INFO | Sigma increased: 15
