2025-07-01 22:33:42,203 | INFO | Starting execution - Serial
2025-07-01 22:33:42,203 | INFO | Running with seed=0, solver=ODEINT, error=SQUARED
2025-07-01 22:33:42,203 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=SQUARED, Seed=0
2025-07-01 22:38:39,928 | INFO | Sigma increased: 1
2025-07-01 22:40:13,679 | INFO | Sigma increased: 1
2025-07-01 22:40:39,407 | INFO | Sigma increased: 1.7784808548092867
2025-07-01 22:41:03,207 | INFO | Sigma increased: 2.8278835424525486
2025-07-01 22:41:38,482 | INFO | Sigma increased: 9.183400045359274
2025-07-01 22:41:44,688 | INFO | Sigma increased: 15
2025-07-01 22:41:58,190 | INFO | Sigma increased: 15
2025-07-01 22:42:10,842 | INFO | Sigma increased: 15
2025-07-01 22:42:26,175 | INFO | Sigma increased: 15
2025-07-01 22:42:40,719 | INFO | Sigma increased: 15
2025-07-01 22:43:03,013 | INFO | Sigma increased: 15
2025-07-01 22:43:25,748 | INFO | Sigma increased: 15
2025-07-01 22:43:47,923 | INFO | Sigma increased: 15
2025-07-01 22:44:12,713 | INFO | Sigma increased: 15
2025-07-01 22:44:37,315 | INFO | Sigma increased: 15
2025-07-01 22:45:02,022 | INFO | Sigma increased: 15
2025-07-01 22:45:29,244 | INFO | Sigma increased: 15
2025-07-01 22:45:55,399 | INFO | Sigma increased: 15
2025-07-01 22:46:22,620 | INFO | Sigma increased: 15
2025-07-01 22:46:49,195 | INFO | Sigma increased: 15
2025-07-01 22:47:16,648 | INFO | Sigma increased: 15
2025-07-01 22:47:40,370 | INFO | Sigma increased: 15
2025-07-01 22:51:43,862 | INFO | Sigma increased: 1
2025-07-01 22:52:11,901 | INFO | Sigma increased: 1
2025-07-01 22:52:40,231 | INFO | Sigma increased: 1
2025-07-01 22:53:08,956 | INFO | Sigma increased: 1
2025-07-01 22:53:38,781 | INFO | Sigma increased: 1
2025-07-01 22:54:08,053 | INFO | Sigma increased: 1
2025-07-01 22:54:38,107 | INFO | Sigma increased: 1
2025-07-01 22:55:07,877 | INFO | Sigma increased: 1
2025-07-01 22:55:38,042 | INFO | Sigma increased: 1
2025-07-01 22:56:08,367 | INFO | Sigma increased: 1
2025-07-01 22:56:40,345 | INFO | Sigma increased: 1
2025-07-01 22:57:11,656 | INFO | Sigma increased: 1
2025-07-01 22:57:43,020 | INFO | Sigma increased: 1.0293910330689295
2025-07-01 22:58:14,974 | INFO | Sigma increased: 1.121818467884079
2025-07-01 22:58:47,558 | INFO | Sigma increased: 1
2025-07-01 22:59:20,286 | INFO | Sigma increased: 1
2025-07-01 22:59:53,385 | INFO | Sigma increased: 1.9309930204344063
2025-07-01 23:00:26,595 | INFO | Sigma increased: 2.10894374555218
2025-07-01 23:01:00,154 | INFO | Sigma increased: 1
2025-07-01 23:01:34,299 | INFO | Sigma increased: 1.1492150420495602
2025-07-01 23:02:08,213 | INFO | Sigma increased: 1.1466216964613731
2025-07-01 23:02:36,955 | INFO | Execution finished for solver: ODEINT, seed: 0, error: SQUARED in 1734.72 seconds.
2025-07-01 23:02:36,958 | INFO | Results saved to ../../Outputs/GRN5_CMAES_SERIAL_20250701_223342\results.csv
2025-07-01 23:02:36,958 | INFO | Running with seed=0, solver=ODEINT, error=MSE
2025-07-01 23:02:36,958 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=MSE, Seed=0
2025-07-01 23:02:39,727 | INFO | Sigma increased: 5.6142513735053425
2025-07-01 23:02:42,685 | INFO | Sigma increased: 3.78362722682573
2025-07-01 23:02:45,944 | INFO | Sigma increased: 2.7195518645495715
2025-07-01 23:02:49,617 | INFO | Sigma increased: 5.254200873758114
2025-07-01 23:02:52,645 | INFO | Sigma increased: 4.389531903835688
2025-07-01 23:02:55,530 | INFO | Sigma increased: 5.311110197330251
2025-07-01 23:02:58,895 | INFO | Sigma increased: 7.902254570197517
2025-07-01 23:03:01,990 | INFO | Sigma increased: 8.065543669077913
2025-07-01 23:03:04,980 | INFO | Sigma increased: 7.322166654093573
2025-07-01 23:03:08,102 | INFO | Sigma increased: 7.290555411323817
2025-07-01 23:03:10,827 | INFO | Sigma increased: 7.143485678442393
2025-07-01 23:03:13,933 | INFO | Sigma increased: 10.501992118085164
2025-07-01 23:03:19,538 | INFO | Sigma increased: 15
2025-07-01 23:03:23,057 | INFO | Sigma increased: 15
2025-07-01 23:03:26,435 | INFO | Sigma increased: 15
2025-07-01 23:03:29,425 | INFO | Sigma increased: 14.205666997942966
2025-07-01 23:03:33,081 | INFO | Sigma increased: 15
2025-07-01 23:03:36,109 | INFO | Sigma increased: 15
2025-07-01 23:03:39,330 | INFO | Sigma increased: 15
2025-07-01 23:03:42,399 | INFO | Sigma increased: 15
2025-07-01 23:03:45,360 | INFO | Sigma increased: 15
2025-07-01 23:03:48,417 | INFO | Sigma increased: 15
2025-07-01 23:03:51,313 | INFO | Sigma increased: 15
2025-07-01 23:03:54,557 | INFO | Sigma increased: 15
2025-07-01 23:03:57,507 | INFO | Sigma increased: 15
2025-07-01 23:04:00,690 | INFO | Sigma increased: 15
2025-07-01 23:04:03,595 | INFO | Sigma increased: 15
2025-07-01 23:04:06,653 | INFO | Sigma increased: 15
2025-07-01 23:04:10,798 | INFO | Sigma increased: 15
2025-07-01 23:04:14,138 | INFO | Sigma increased: 15
2025-07-01 23:04:17,445 | INFO | Sigma increased: 15
2025-07-01 23:04:21,370 | INFO | Sigma increased: 15
2025-07-01 23:04:26,610 | INFO | Sigma increased: 15
2025-07-01 23:04:33,774 | INFO | Sigma increased: 15
2025-07-01 23:04:42,411 | INFO | Sigma increased: 15
2025-07-01 23:04:51,734 | INFO | Sigma increased: 15
2025-07-01 23:05:01,679 | INFO | Sigma increased: 15
2025-07-01 23:05:12,015 | INFO | Sigma increased: 15
2025-07-01 23:05:23,528 | INFO | Sigma increased: 15
2025-07-01 23:05:34,900 | INFO | Sigma increased: 15
2025-07-01 23:05:46,668 | INFO | Sigma increased: 15
2025-07-01 23:05:58,649 | INFO | Sigma increased: 15
2025-07-01 23:06:10,511 | INFO | Sigma increased: 15
2025-07-01 23:06:22,824 | INFO | Sigma increased: 15
2025-07-01 23:06:34,662 | INFO | Sigma increased: 15
2025-07-01 23:06:47,472 | INFO | Sigma increased: 14.893287765403208
2025-07-01 23:07:00,552 | INFO | Sigma increased: 15
2025-07-01 23:07:13,585 | INFO | Sigma increased: 11.60569818328166
2025-07-01 23:07:27,237 | INFO | Sigma increased: 15
2025-07-01 23:07:41,108 | INFO | Sigma increased: 6.942255656568617
2025-07-01 23:07:55,257 | INFO | Sigma increased: 2.875953084604863
2025-07-01 23:08:09,430 | INFO | Sigma increased: 1.6648083872153423
2025-07-01 23:08:23,883 | INFO | Sigma increased: 1.0544426731897514
2025-07-01 23:08:38,573 | INFO | Sigma increased: 1.103204126810058
2025-07-01 23:08:53,409 | INFO | Sigma increased: 1
2025-07-01 23:09:08,216 | INFO | Sigma increased: 1
2025-07-01 23:09:23,339 | INFO | Sigma increased: 1
2025-07-01 23:09:38,428 | INFO | Sigma increased: 1.3807273256956334
2025-07-01 23:09:53,624 | INFO | Sigma increased: 2.1522292925234607
2025-07-01 23:10:09,129 | INFO | Sigma increased: 1.3981912357435897
2025-07-01 23:10:24,796 | INFO | Sigma increased: 1.5691445608346457
2025-07-01 23:10:40,526 | INFO | Sigma increased: 1.9033648587697138
2025-07-01 23:10:56,515 | INFO | Sigma increased: 2.1920877123318974
2025-07-01 23:11:12,629 | INFO | Sigma increased: 3.2792122659667027
2025-07-01 23:11:28,955 | INFO | Sigma increased: 2.1056166552961355
2025-07-01 23:11:45,204 | INFO | Sigma increased: 3.152670915868857
2025-07-01 23:12:01,837 | INFO | Sigma increased: 4.0954611711996876
2025-07-01 23:12:18,501 | INFO | Sigma increased: 6.922259723230718
2025-07-01 23:12:26,156 | INFO | Execution finished for solver: ODEINT, seed: 0, error: MSE in 589.20 seconds.
2025-07-01 23:12:26,159 | INFO | Results saved to ../../Outputs/GRN5_CMAES_SERIAL_20250701_223342\results.csv
2025-07-01 23:12:26,159 | INFO | Running with seed=1, solver=ODEINT, error=SQUARED
2025-07-01 23:12:26,159 | INFO | Starting execution for CMAES: Solver=ODEINT, Error=SQUARED, Seed=1
2025-07-01 23:12:30,357 | INFO | Sigma increased: 5.395656901342577
2025-07-01 23:12:35,654 | INFO | Sigma increased: 4.187820333684668
2025-07-01 23:12:40,661 | INFO | Sigma increased: 4.462551786185498
2025-07-01 23:12:45,919 | INFO | Sigma increased: 6.355531792097767
2025-07-01 23:12:49,703 | INFO | Sigma increased: 7.68674101074244
2025-07-01 23:12:53,030 | INFO | Sigma increased: 5.873506650897051
2025-07-01 23:12:57,808 | INFO | Sigma increased: 6.716026814858342
2025-07-01 23:13:02,326 | INFO | Sigma increased: 6.938814845542353
2025-07-01 23:13:05,754 | INFO | Sigma increased: 12.816353035437933
2025-07-01 23:13:12,472 | INFO | Sigma increased: 9.204965475317287
2025-07-01 23:13:16,795 | INFO | Sigma increased: 10.134952386792303
2025-07-01 23:13:21,042 | INFO | Sigma increased: 10.030330738029903
2025-07-01 23:13:25,487 | INFO | Sigma increased: 10.943643754826182
2025-07-01 23:13:29,784 | INFO | Sigma increased: 14.197691402026667
2025-07-01 23:13:34,296 | INFO | Sigma increased: 11.771643653154534
2025-07-01 23:13:38,429 | INFO | Sigma increased: 10.551120417762512
2025-07-01 23:13:42,981 | INFO | Sigma increased: 14.147774021003087
2025-07-01 23:13:47,856 | INFO | Sigma increased: 15
2025-07-01 23:13:52,720 | INFO | Sigma increased: 15
2025-07-01 23:13:57,339 | INFO | Sigma increased: 15
2025-07-01 23:14:01,793 | INFO | Sigma increased: 15
2025-07-01 23:14:06,489 | INFO | Sigma increased: 15
2025-07-01 23:14:10,326 | INFO | Sigma increased: 15
2025-07-01 23:14:14,301 | INFO | Sigma increased: 15
2025-07-01 23:14:18,470 | INFO | Sigma increased: 15
2025-07-01 23:14:22,667 | INFO | Sigma increased: 15
2025-07-01 23:14:26,932 | INFO | Sigma increased: 15
2025-07-01 23:14:31,044 | INFO | Sigma increased: 15
2025-07-01 23:14:35,128 | INFO | Sigma increased: 15
2025-07-01 23:14:39,177 | INFO | Sigma increased: 15
2025-07-01 23:14:43,148 | INFO | Sigma increased: 14.968340130752697
2025-07-01 23:14:47,167 | INFO | Sigma increased: 15
2025-07-01 23:14:51,157 | INFO | Sigma increased: 11.453321506644949
2025-07-01 23:14:55,166 | INFO | Sigma increased: 11.798960258545598
2025-07-01 23:14:59,290 | INFO | Sigma increased: 15
