best_ind,error_type,method,seed,abs_error,squared_error,MSE_error,mean_abs_error,execution_time
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.347873323493488, 'k': val=0.6643404464327582, '-': True}, 'tau': val=1.4791099951581996}, 'B': {'A': {'n': val=1.021815710367172, 'k': val=0.3643376751474198, '-': False}, 'tau': val=1.288435506827408}, 'C': {'B': {'n': val=5.944261437781066, 'k': val=0.48478424735474424, '-': False}, 'tau': val=2.0537848430265075}, 'D': {'C': {'n': val=9.745448658187984, 'k': val=0.6474362176799866, '-': False}, 'tau': val=1.345324278795771}, 'E': {'D': {'n': val=1.1937562489256635, 'k': val=0.13885166575105648, '-': False}, 'B': {'n': val=23.792054880285818, 'k': val=0.685848704730922, '-': False}, 'E': {'n': val=2.0546374092262667, 'k': val=0.42786595358576884, '-': False}, 'tau': val=3.502710356600978}}, ind_size=19)",squared,DOP853,0,36.77406766198855,2.903581587572805,0.0337231441427672,0.1470962706479542,1068.718671798706
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.215602607125803, 'k': val=0.6569249720194552, '-': True}, 'tau': val=1.4878224261486739}, 'B': {'A': {'n': val=1.0645979862548351, 'k': val=0.36232243761231014, '-': False}, 'tau': val=1.2824431406836356}, 'C': {'B': {'n': val=5.8621075450178655, 'k': val=0.48829365187875934, '-': False}, 'tau': val=2.057284345328415}, 'D': {'C': {'n': val=9.839684855928265, 'k': val=0.6446843817656744, '-': False}, 'tau': val=1.328806156480899}, 'E': {'D': {'n': val=1.1510659068244815, 'k': val=0.13675230986340844, '-': False}, 'B': {'n': val=22.885838134816797, 'k': val=0.6842473914036569, '-': False}, 'E': {'n': val=2.046890444706754, 'k': val=0.450179860715767, '-': False}, 'tau': val=3.5996552350154896}}, ind_size=19)",squared,LSODA,0,36.86033983114842,2.90246622321189,0.0336972407075435,0.1474413593245936,492.0502953529358
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.02972222939662, 'k': val=0.6328615741011614, '-': True}, 'tau': val=1.4450881990974245}, 'B': {'A': {'n': val=1.1422423432149864, 'k': val=0.3709940374417313, '-': False}, 'tau': val=1.463411644788952}, 'C': {'B': {'n': val=4.443232291954642, 'k': val=0.47426825824786045, '-': False}, 'tau': val=1.4563729258820646}, 'D': {'C': {'n': val=10.46611638604492, 'k': val=0.6467231378647544, '-': False}, 'tau': val=1.6736258181134356}, 'E': {'D': {'n': val=1.2888769717085324, 'k': val=0.11247597371200654, '-': False}, 'B': {'n': val=22.002781087551597, 'k': val=0.6675716890801006, '-': False}, 'E': {'n': val=2.369530241924325, 'k': val=0.5253446717346004, '-': False}, 'tau': val=3.7354475951589254}}, ind_size=19)",squared,RK45,0,37.72746773436231,2.959916086036538,0.0350444129455114,0.1509098709374492,682.7241904735565
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.347873323493488, 'k': val=0.6643404464327582, '-': True}, 'tau': val=1.4791099951581996}, 'B': {'A': {'n': val=1.021815710367172, 'k': val=0.3643376751474198, '-': False}, 'tau': val=1.288435506827408}, 'C': {'B': {'n': val=5.944261437781066, 'k': val=0.48478424735474424, '-': False}, 'tau': val=2.0537848430265075}, 'D': {'C': {'n': val=9.745448658187984, 'k': val=0.6474362176799866, '-': False}, 'tau': val=1.345324278795771}, 'E': {'D': {'n': val=1.1937562489256635, 'k': val=0.13885166575105648, '-': False}, 'B': {'n': val=23.792054880285818, 'k': val=0.685848704730922, '-': False}, 'E': {'n': val=2.0546374092262667, 'k': val=0.42786595358576884, '-': False}, 'tau': val=3.502710356600978}}, ind_size=19)",squared,DOP853,0,36.77406766198855,2.903581587572805,0.0337231441427672,0.1470962706479542,1068.718671798706
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.215602607125803, 'k': val=0.6569249720194552, '-': True}, 'tau': val=1.4878224261486739}, 'B': {'A': {'n': val=1.0645979862548351, 'k': val=0.36232243761231014, '-': False}, 'tau': val=1.2824431406836356}, 'C': {'B': {'n': val=5.8621075450178655, 'k': val=0.48829365187875934, '-': False}, 'tau': val=2.057284345328415}, 'D': {'C': {'n': val=9.839684855928265, 'k': val=0.6446843817656744, '-': False}, 'tau': val=1.328806156480899}, 'E': {'D': {'n': val=1.1510659068244815, 'k': val=0.13675230986340844, '-': False}, 'B': {'n': val=22.885838134816797, 'k': val=0.6842473914036569, '-': False}, 'E': {'n': val=2.046890444706754, 'k': val=0.450179860715767, '-': False}, 'tau': val=3.5996552350154896}}, ind_size=19)",squared,LSODA,0,36.86033983114842,2.90246622321189,0.0336972407075435,0.1474413593245936,492.0502953529358
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=1.7235505371146114, 'k': val=0.6550632557053455, '-': True}, 'tau': val=0.923469271579757}, 'B': {'A': {'n': val=3.260518575563408, 'k': val=0.44817880757532724, '-': False}, 'tau': val=4.3586487448747535}, 'C': {'B': {'n': val=1.7236200013118963, 'k': val=0.7032915070642923, '-': False}, 'tau': val=4.102052460905795}, 'D': {'C': {'n': val=5.377896199379826, 'k': val=0.43538252085772644, '-': False}, 'tau': val=4.135072127490993}, 'E': {'D': {'n': val=0.1, 'k': val=1.6632283381997228, '-': False}, 'B': {'n': val=16.12293620208783, 'k': val=0.4353806671205718, '-': False}, 'E': {'n': val=21.26477030758757, 'k': val=1.6646213760142228, '-': False}, 'tau': val=1.7246530318177178}}, ind_size=19)",mse,RK45,0,99.48826770289593,7.854080118848726,0.2467462980531792,0.3979530708115836,1170.3533880710602
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=17.02972222939662, 'k': val=0.6328615741011614, '-': True}, 'tau': val=1.4450881990974245}, 'B': {'A': {'n': val=1.1422423432149864, 'k': val=0.3709940374417313, '-': False}, 'tau': val=1.463411644788952}, 'C': {'B': {'n': val=4.443232291954642, 'k': val=0.47426825824786045, '-': False}, 'tau': val=1.4563729258820646}, 'D': {'C': {'n': val=10.46611638604492, 'k': val=0.6467231378647544, '-': False}, 'tau': val=1.6736258181134356}, 'E': {'D': {'n': val=1.2888769717085324, 'k': val=0.11247597371200654, '-': False}, 'B': {'n': val=22.002781087551597, 'k': val=0.6675716890801006, '-': False}, 'E': {'n': val=2.369530241924325, 'k': val=0.5253446717346004, '-': False}, 'tau': val=3.7354475951589254}}, ind_size=19)",squared,RK45,0,37.72746773436231,2.959916086036538,0.0350444129455114,0.1509098709374492,682.7241904735565
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.347873323493488, 'k': val=0.6643404464327582, '-': True}, 'tau': val=1.4791099951581996}, 'B': {'A': {'n': val=1.021815710367172, 'k': val=0.3643376751474198, '-': False}, 'tau': val=1.288435506827408}, 'C': {'B': {'n': val=5.944261437781066, 'k': val=0.48478424735474424, '-': False}, 'tau': val=2.0537848430265075}, 'D': {'C': {'n': val=9.745448658187984, 'k': val=0.6474362176799866, '-': False}, 'tau': val=1.345324278795771}, 'E': {'D': {'n': val=1.1937562489256635, 'k': val=0.13885166575105648, '-': False}, 'B': {'n': val=23.792054880285818, 'k': val=0.685848704730922, '-': False}, 'E': {'n': val=2.0546374092262667, 'k': val=0.42786595358576884, '-': False}, 'tau': val=3.502710356600978}}, ind_size=19)",squared,DOP853,0,36.77406766198855,2.903581587572805,0.0337231441427672,0.1470962706479542,1068.718671798706
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=29.215602607125803, 'k': val=0.6569249720194552, '-': True}, 'tau': val=1.4878224261486739}, 'B': {'A': {'n': val=1.0645979862548351, 'k': val=0.36232243761231014, '-': False}, 'tau': val=1.2824431406836356}, 'C': {'B': {'n': val=5.8621075450178655, 'k': val=0.48829365187875934, '-': False}, 'tau': val=2.057284345328415}, 'D': {'C': {'n': val=9.839684855928265, 'k': val=0.6446843817656744, '-': False}, 'tau': val=1.328806156480899}, 'E': {'D': {'n': val=1.1510659068244815, 'k': val=0.13675230986340844, '-': False}, 'B': {'n': val=22.885838134816797, 'k': val=0.6842473914036569, '-': False}, 'E': {'n': val=2.046890444706754, 'k': val=0.450179860715767, '-': False}, 'tau': val=3.5996552350154896}}, ind_size=19)",squared,LSODA,0,36.86033983114842,2.90246622321189,0.0336972407075435,0.1474413593245936,492.0502953529358
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=1.7235505371146114, 'k': val=0.6550632557053455, '-': True}, 'tau': val=0.923469271579757}, 'B': {'A': {'n': val=3.260518575563408, 'k': val=0.44817880757532724, '-': False}, 'tau': val=4.3586487448747535}, 'C': {'B': {'n': val=1.7236200013118963, 'k': val=0.7032915070642923, '-': False}, 'tau': val=4.102052460905795}, 'D': {'C': {'n': val=5.377896199379826, 'k': val=0.43538252085772644, '-': False}, 'tau': val=4.135072127490993}, 'E': {'D': {'n': val=0.1, 'k': val=1.6632283381997228, '-': False}, 'B': {'n': val=16.12293620208783, 'k': val=0.4353806671205718, '-': False}, 'E': {'n': val=21.26477030758757, 'k': val=1.6646213760142228, '-': False}, 'tau': val=1.7246530318177178}}, ind_size=19)",mse,RK45,0,99.48826770289593,7.854080118848726,0.2467462980531792,0.3979530708115836,1170.3533880710602
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=1.7235505371146114, 'k': val=0.6550632557053455, '-': True}, 'tau': val=0.923469271579757}, 'B': {'A': {'n': val=3.260518575563408, 'k': val=0.44817880757532724, '-': False}, 'tau': val=4.3586487448747535}, 'C': {'B': {'n': val=1.7236200013118963, 'k': val=0.7032915070642923, '-': False}, 'tau': val=4.102052460905795}, 'D': {'C': {'n': val=5.377896199379826, 'k': val=0.43538252085772644, '-': False}, 'tau': val=4.135072127490993}, 'E': {'D': {'n': val=0.1, 'k': val=1.6632283381997228, '-': False}, 'B': {'n': val=16.12293620208783, 'k': val=0.4353806671205718, '-': False}, 'E': {'n': val=21.26477030758757, 'k': val=1.6646213760142228, '-': False}, 'tau': val=1.7246530318177178}}, ind_size=19)",mse,DOP853,0,99.5127692293818,7.862680904616056,0.2472870040312559,0.3980510769175273,704.0150156021118
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=1.3101232949138637, 'k': val=0.713325533577189, '-': True}, 'tau': val=1.100907765980159}, 'B': {'A': {'n': val=1.2835135228295143, 'k': val=0.44794052027344444, '-': False}, 'tau': val=1.9916344107361468}, 'C': {'B': {'n': val=4.283746841590573, 'k': val=0.4923408086928755, '-': False}, 'tau': val=1.8572353829602124}, 'D': {'C': {'n': val=4.479906692620132, 'k': val=0.5658737567499021, '-': False}, 'tau': val=1.3741999760476211}, 'E': {'D': {'n': val=2.111255638600768, 'k': val=0.2590108615091357, '-': False}, 'B': {'n': val=16.073440153133834, 'k': val=0.5260510520240109, '-': False}, 'E': {'n': val=28.646000009233596, 'k': val=1.07010546592717, '-': False}, 'tau': val=1.5646193883215156}}, ind_size=19)",mse,LSODA,0,88.47971305508764,7.098954653557564,0.2015806286930663,0.3539188522203506,316.85263323783875
