best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=1.8909258948847896, '-': True}, 'tau': val=2.8683055827435116}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'C': {'B': {'n': val=7.400314368921063, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=4.2167349537252905}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=9.314332949464998, 'k': val=0.1, '-': False}, 'E': {'n': val=19.44391701264537, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",MSE,RK45,0,125.49645261441452,9.78891839656088,0.3832916934981123,0.5019858104576582,50.54422688484192
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=5.384963300765708, 'k': val=2.0, '-': True}, 'tau': val=2.550097614715961}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.427102184083314}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=3.0297059186818833}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=21.163407795737175, 'k': val=0.1, '-': False}, 'tau': val=5.0}}, ind_size=19)",ABS,RK45,2,117.97016295134475,11.052779293867017,0.4886557204757419,0.471880651805379,51.9081244468689
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.8089552992876995, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=16.50063214103528, 'k': val=0.1, '-': False}, 'tau': val=4.935631924059011}}, ind_size=19)",MABS,RK45,3,107.0397765749566,8.871721704265045,0.31482978399171,0.4281591062998265,53.09990954399109
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.8089552992876995, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=16.50063214103528, 'k': val=0.1, '-': False}, 'tau': val=4.935631924059011}}, ind_size=19)",ABS,RK45,3,107.0397765749566,8.871721704265045,0.31482978399171,0.4281591062998265,59.61895799636841
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=2.925474865105745}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=9.070866136293581, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=12.020360328715276, 'k': val=0.1, '-': False}, 'tau': val=2.4563989937009207}}, ind_size=19)",SQUARED,RK45,4,119.5308109260009,9.308574632170941,0.34659824673078554,0.47812324370400355,55.227227210998535
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=2.925474865105745}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=9.070866136293581, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=12.020360328715276, 'k': val=0.1, '-': False}, 'tau': val=2.4563989937009207}}, ind_size=19)",ABS,RK45,4,119.5308109260009,9.308574632170941,0.34659824673078554,0.47812324370400355,57.326900482177734
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=0.1}, 'B': {'A': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=2.925474865105745}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=9.070866136293581, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=12.020360328715276, 'k': val=0.1, '-': False}, 'tau': val=2.4563989937009207}}, ind_size=19)",MABS,RK45,4,119.5308109260009,9.308574632170941,0.34659824673078554,0.47812324370400355,56.37913131713867
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.8089552992876995, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=16.50063214103528, 'k': val=0.1, '-': False}, 'tau': val=4.935631924059011}}, ind_size=19)",SQUARED,RK45,3,107.0397765749566,8.871721704265045,0.31482978399171,0.4281591062998265,60.18582725524902
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=3.5421765856490754, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.9880509151424066, 'k': val=2.0, '-': False}, 'tau': val=1.5393238819075532}, 'C': {'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'D': {'C': {'n': val=1.641442432190399, 'k': val=2.0, '-': False}, 'tau': val=2.5828884293411005}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=0.1, '-': False}, 'E': {'n': val=11.416891215180826, 'k': val=2.0, '-': False}, 'tau': val=5.0}}, ind_size=19)",MABS,RK45,5,129.16595541867773,11.36308393347118,0.5164787059164437,0.5166638216747108,52.50962686538696
"Individual (fitness=inf, coeffs={'A': {'E': {'n': val=0.1, 'k': val=2.0, '-': True}, 'tau': val=5.0}, 'B': {'A': {'n': val=0.1, 'k': val=0.1, '-': False}, 'tau': val=0.1}, 'C': {'B': {'n': val=0.8089552992876995, 'k': val=2.0, '-': False}, 'tau': val=0.1}, 'D': {'C': {'n': val=0.1, 'k': val=2.0, '-': False}, 'tau': val=5.0}, 'E': {'D': {'n': val=0.1, 'k': val=2.0, '-': False}, 'B': {'n': val=0.1, 'k': val=2.0, '-': False}, 'E': {'n': val=16.50063214103528, 'k': val=0.1, '-': False}, 'tau': val=4.935631924059011}}, ind_size=19)",MSE,RK45,3,107.0397765749566,8.871721704265045,0.31482978399171,0.4281591062998265,61.57475209236145
