best_ind,error_type,method,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=22.861963386785074, 'k': val=1.9273546941386508}, 'B': {'n': val=13.941461916270242, 'k': val=1.7650821650029913}, 'D': {'n': val=19.534751315936187, 'k': val=1.0320632059215582}, 'tau': val=1.214537386054835}, 'B': {'C': {'n': val=2.3545938568989264, 'k': val=0.6032995685437444}, 'D': {'n': val=22.4115406016341, 'k': val=0.6772391939064388}, 'tau': val=3.5569477090821264}, 'C': {'A': {'n': val=0.09064563919418836, 'k': val=0.9614587214615158}, 'D': {'n': val=25.25671728576287, 'k': val=0.3566069664999067}, 'tau': val=4.649858531331081}, 'D': {'A': {'n': val=26.861521412698092, 'k': val=0.967216857117556}, 'D': {'n': val=8.456469264020384, 'k': val=0.17805951878277476}, 'tau': val=0.5700924294338559}}, ind_size=22)",ABS,RK45,0,32.283014663744915,3.17148622544117,0.0251458121954076,0.0807075366593622,1791.744936466217
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=18.041084359533876, 'k': val=1.7409283889057288}, 'B': {'n': val=9.511862479280865, 'k': val=1.702124965259332}, 'D': {'n': val=25.55943573827447, 'k': val=1.8042678889119146}, 'tau': val=1.8012065147973715}, 'B': {'C': {'n': val=2.419103745065508, 'k': val=0.6057241041024609}, 'D': {'n': val=27.796201300241123, 'k': val=0.6457091641666806}, 'tau': val=3.5473393147203818}, 'C': {'A': {'n': val=0.4266216843761371, 'k': val=0.5290163446381033}, 'D': {'n': val=19.57556006622645, 'k': val=0.36904833175769064}, 'tau': val=4.359498596790351}, 'D': {'A': {'n': val=28.346145275922424, 'k': val=0.9710193295451571}, 'D': {'n': val=15.792761657227, 'k': val=0.10318985187592071}, 'tau': val=0.5380171853009155}}, ind_size=22)",ABS,DOP853,0,31.74953827648069,3.1869421815129124,0.0253915011707657,0.0793738456912017,1499.0076744556427
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=17.048799448956284, 'k': val=1.883856780419677}, 'B': {'n': val=9.063551307709398, 'k': val=1.9999881335015532}, 'D': {'n': val=9.277855523121456, 'k': val=1.404467392214201}, 'tau': val=1.5994026772861805}, 'B': {'C': {'n': val=1.232944474438718, 'k': val=0.6744684416885293}, 'D': {'n': val=7.603155286645801, 'k': val=0.7265153950539255}, 'tau': val=2.7365403077187547}, 'C': {'A': {'n': val=0.12076409443261325, 'k': val=0.1908968102216764}, 'D': {'n': val=14.341503016455489, 'k': val=0.398055879509026}, 'tau': val=4.382787636178475}, 'D': {'A': {'n': val=29.996440767793757, 'k': val=0.971927873103339}, 'D': {'n': val=19.679954545308096, 'k': val=0.2285061902502592}, 'tau': val=0.6102217567872557}}, ind_size=22)",ABS,LSODA,0,33.48554650725744,3.300136184014568,0.0272272470826055,0.0837138662681435,453.9236817359924
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=24.268021231544054, 'k': val=1.8524319100025484}, 'B': {'n': val=8.485158998089284, 'k': val=0.9406909257755433}, 'D': {'n': val=5.579007902430754, 'k': val=1.7471422548419708}, 'tau': val=3.2705443286263334}, 'B': {'C': {'n': val=26.500863760591383, 'k': val=0.4467434595028152}, 'D': {'n': val=1.7505533725081117, 'k': val=0.26094838597120784}, 'tau': val=3.515688025022194}, 'C': {'A': {'n': val=0.39213341982022554, 'k': val=1.7890130562213291}, 'D': {'n': val=26.36944902575884, 'k': val=0.3625634308508229}, 'tau': val=4.980337232109039}, 'D': {'A': {'n': val=22.534654850295627, 'k': val=0.9761900104143856}, 'D': {'n': val=29.39105220528015, 'k': val=0.12229559163904308}, 'tau': val=0.9634445784613997}}, ind_size=22)",SQUARED,RK45,0,35.333102991325326,2.91900155898446,0.0213014252533842,0.0883327574783133,1028.7910919189453
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=22.52852510085948, 'k': val=1.873288518099899}, 'B': {'n': val=9.054187731040724, 'k': val=1.9719275196250785}, 'D': {'n': val=5.4684638167090585, 'k': val=1.9322233922903063}, 'tau': val=4.055338333668868}, 'B': {'C': {'n': val=2.8567418117414496, 'k': val=0.6247284288430587}, 'D': {'n': val=8.07325906452972, 'k': val=0.7088454705972163}, 'tau': val=3.2965147840248656}, 'C': {'A': {'n': val=30.0, 'k': val=0.8766826522542489}, 'D': {'n': val=0, 'k': val=1.9298009809978058}, 'tau': val=4.993641060943434}, 'D': {'A': {'n': val=20.039476338758046, 'k': val=0.7260088315572133}, 'D': {'n': val=3.051747685508643, 'k': val=0.20043690392985214}, 'tau': val=0.5851568332867376}}, ind_size=22)",SQUARED,DOP853,0,38.26154515683213,3.2664868224551946,0.0266748404031835,0.0956538628920803,1207.7565631866455
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=28.610707916062974, 'k': val=1.9979804216336015}, 'B': {'n': val=3.571016785752408, 'k': val=1.7634581808756487}, 'D': {'n': val=28.723529577913915, 'k': val=1.0479682925131604}, 'tau': val=2.1604961622237795}, 'B': {'C': {'n': val=0.15076676174773995, 'k': val=0.10940487234936394}, 'D': {'n': val=25.58616833190112, 'k': val=0.7271031728354755}, 'tau': val=2.3888900804626836}, 'C': {'A': {'n': val=0.19078108192907767, 'k': val=1.8793670293402065}, 'D': {'n': val=25.382330906244583, 'k': val=0.35007951084145256}, 'tau': val=4.84551672289772}, 'D': {'A': {'n': val=29.6364223766711, 'k': val=0.9938028060439741}, 'D': {'n': val=29.784115467488462, 'k': val=0.10062389293846229}, 'tau': val=0.708406597105775}}, ind_size=22)",SQUARED,LSODA,0,38.63988512965568,3.001049375830817,0.0225157433904363,0.0965997128241392,529.6570348739624
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=22.970613435301978, 'k': val=1.3167726468210985}, 'B': {'n': val=23.030007735136007, 'k': val=1.1564748931517972}, 'D': {'n': val=8.503693019730083, 'k': val=1.4304970412723896}, 'tau': val=1.5269898304599452}, 'B': {'C': {'n': val=2.299612740899465, 'k': val=0.6107163298787066}, 'D': {'n': val=9.507526952649124, 'k': val=0.6649488241554585}, 'tau': val=3.375100569189599}, 'C': {'A': {'n': val=0.8381981177272916, 'k': val=0.46503693154138764}, 'D': {'n': val=30.0, 'k': val=0.3151488713388107}, 'tau': val=4.979592497515076}, 'D': {'A': {'n': val=29.720497705757474, 'k': val=0.9641995851028627}, 'D': {'n': val=21.653896362504554, 'k': val=0.22306757590148155}, 'tau': val=0.5992851199722458}}, ind_size=22)",MSE,RK45,0,33.83639485663823,3.0087218038329624,0.0226310172321496,0.0845909871415955,1336.983725309372
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=24.266527217178158, 'k': val=1.354204786908681}, 'B': {'n': val=16.548829055598436, 'k': val=1.24838301449834}, 'D': {'n': val=8.211230637877176, 'k': val=1.7310320005492614}, 'tau': val=1.7761422070927033}, 'B': {'C': {'n': val=2.900387253311328, 'k': val=0.614670486185903}, 'D': {'n': val=28.804928288941944, 'k': val=0.7083943825967884}, 'tau': val=3.466926537765225}, 'C': {'A': {'n': val=0.5852985253156259, 'k': val=1.2361931643302673}, 'D': {'n': val=29.577471090558163, 'k': val=0.3119701439660278}, 'tau': val=4.993516059668745}, 'D': {'A': {'n': val=29.464178424876202, 'k': val=0.9636201899651432}, 'D': {'n': val=5.481356401100447, 'k': val=0.11657457598501397}, 'tau': val=0.5493268484224239}}, ind_size=22)",MSE,DOP853,0,34.229051999140616,2.973794336215875,0.022108631885274,0.0855726299978515,1110.7791304588318
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=7.344853517559891, 'k': val=1.9676643145252}, 'B': {'n': val=5.441106558964663, 'k': val=1.1342842225285457}, 'D': {'n': val=15.35290870428064, 'k': val=1.0427660125580063}, 'tau': val=1.7389285460949475}, 'B': {'C': {'n': val=0.08939066469540502, 'k': val=0.8540109979350885}, 'D': {'n': val=20.695971457349234, 'k': val=0.8003747784909339}, 'tau': val=2.2116742526177746}, 'C': {'A': {'n': val=0.41138475334153557, 'k': val=0.11396399265980449}, 'D': {'n': val=4.575257974128256, 'k': val=0.6049979781504181}, 'tau': val=3.867315391704312}, 'D': {'A': {'n': val=29.298454952037417, 'k': val=0.9784327836122535}, 'D': {'n': val=18.25979827259449, 'k': val=0.1}, 'tau': val=0.6488496174359178}}, ind_size=22)",MSE,LSODA,0,40.60195818719933,3.2305948785619063,0.026091858173476,0.1015048954679983,550.0466403961182
"Individual (fitness=inf, coeffs={'A': {'A': {'n': val=24.532922612927653, 'k': val=0.41604628361067997}, 'B': {'n': val=16.788057508710096, 'k': val=0.1003362314112319}, 'D': {'n': val=23.888518302003458, 'k': val=1.63323436669974}, 'tau': val=1.7113541862740005}, 'B': {'C': {'n': val=2.137593083067396, 'k': val=0.5995951468149162}, 'D': {'n': val=8.868417393022629, 'k': val=0.6102382202827558}, 'tau': val=3.5295823784210327}, 'C': {'A': {'n': val=0.8668930333659403, 'k': val=0.8379572354921132}, 'D': {'n': val=29.71993130078482, 'k': val=0.3487081249699526}, 'tau': val=4.586489315519917}, 'D': {'A': {'n': val=29.308646909896005, 'k': val=0.9710693070235248}, 'D': {'n': val=10.611320972320309, 'k': val=0.1910546265531566}, 'tau': val=0.5446704871232744}}, ind_size=22)",MABS,RK45,0,32.299619653273474,3.19115054851483,0.0254586045582162,0.0807490491331836,1499.1336159706116
